STATE,TOTAL_DEPOSITS,BRANCH_COUNT,ZIP_COUNT,AVG_DEPOSIT_PER_BRANCH
NY,2613680533000,3935,910,664213604.3202033
CA,1796631056000,5423,1058,331298369.168357
TX,1498233331000,6001,1222,249663944.50924847
UT,1069644095000,499,124,2143575340.6813626
SD,919583000000,421,188,2184282660.3325415
FL,859236314000,4195,696,204823912.75327772
NC,726348825000,1948,407,372869006.67351127
IL,704463220000,3460,896,203602086.7052023
MA,602761277000,1858,384,324414034.9838536
OH,565323698000,2968,696,190472944.07008088
PA,563195752000,3182,821,176994265.2419862
DE,538465170000,217,42,2481406313.364055
NJ,436802794000,2234,450,195524974.93285587
GA,354251306000,1970,400,179822997.96954316
VA,326923378000,1794,406,182231537.34671125
MI,303631627000,1874,575,162023280.14941302
MN,297400400000,1531,599,194252384.06270412
MO,268870818000,2013,535,133567222.0566319
TN,233523077000,1874,365,124612100.85378869
AZ,220827316000,959,209,230268316.99687174
IN,212166356000,1704,416,124510772.30046949
WA,211145589000,1338,295,157806867.71300447
WI,201069309000,1597,534,125904388.85410143
MD,200060496000,1121,234,178466098.12667263
CO,180077153000,1315,272,136940800.76045626
CT,177485385000,912,201,194611167.7631579
AL,142226215000,1314,326,108239128.61491628
OK,141579860000,1185,354,119476675.10548523
LA,133224670000,1284,307,103757531.15264797
SC,129861553000,1120,220,115947815.17857143
IA,126434204000,1337,603,94565597.6065819
NV,121579990000,394,91,308578654.822335
KY,121382726000,1414,311,85843512.02263084
AR,107123669000,1237,270,86599570.73565076
OR,102969450000,709,186,145231946.40338504
KS,102063938000,1274,432,80112981.16169545
NE,92460575000,943,373,98049390.24390244
PR,83791151000,255,111,328592749.01960784
MS,80472115000,1002,236,80311492.01596807
DC,64464823000,174,23,370487488.50574714
HI,56637096000,215,46,263428353.4883721
NH,48712280000,370,103,131654810.8108108
WV,47097072000,539,189,87378612.24489796
ME,46134264000,426,131,108296394.36619718
RI,44515175000,237,47,187827742.61603376
NM,44416699000,382,98,116274081.15183246
ND,41594714000,393,166,105838966.92111959
ID,39455521000,391,97,100909260.86956522
MT,37335466000,346,124,107905971.0982659
WY,21195650000,206,54,102891504.85436893
VT,18679757000,213,76,87698389.6713615
AK,16044175000,112,39,143251562.5
GU,4214696000,15,5,280979733.3333333
VI,3652916000,20,6,182645800.0
MP,944570000,6,3,157428333.33333334
FM,493730000,8,4,61716250.0
PW,364266000,3,1,121422000.0
MH,186587000,1,1,186587000.0
